class_names
Acanthoica
Aphanizomenon_flosaquae
Asterionellopsis
Bacillariophyta-centric
Bacillariophyta-centric-chain
Bacillariophyta-pennate
Bacillariophyta-pennate-chain
Cerataulina
Ceratium
Chaetoceros
Chaetoceros_didymus_flagellate
Chaetoceros_sp
Ciliate_mix
Ciliophora
Cocco-round
Corethron
Cryptomonadales
Cryptophyceae-Teleaulax
Cryptophyceae-like
Cylindrotheca
DactFragCerataul
Dactyliosolen
Dictyocha
Dictyochales
Dinobryon
Dinophyceae
Ditylum
Dividing-cells
Dolichospermum-Anabaenopsis
Dolichospermum-Anabaenopsis-coiled
Eucampia
Euglenida
Eutreptiella_sp
Feces
Flagellates-like
Flat-leaves
G_delicatula_parasite
Guinardia
Guinardia_delicatula
Guinardia_flaccida
Guinardia_striata
Heterocapsa_rotundata
Heterocapsa_triquetra
Laboea_strobila
Leptocylindrus
Membraneis
Mesodinium_rubrum
Mesodinium_sp
Nano-Dino
Oocystis_sp
Ophiaster
Oscillatoriales
Oxytoxum
Pennales_sp_thick
Pennales_sp_thin
Peridiniella_catenata_single
Phaeocystis
Pleurosigma
Prorocentrum
Prymnesiaceae
Prymnesio-like
Prymnesiophyceae
Pseudo-nitzschia
Pseudonitzschia
Pyramimonas
Pyramimonas_sp
Rhizosolenia
Skeletonema
Skeletonema_marinoi
Snowella-Woronichinia
T1-CoolCircle
T12-Unknown
Thalassionema
Thalassiosira
Thalassiosira_dirty
Thalassiosira_levanderi
Tintinnid
Torodinium
detritus
dino30
flagellate_sp3
pennate
